"날짜","종가","오픈","고가","저가","변동 %"
"2014년 12월 11일","1,102.85","1,101.62","1,104.11","1,096.30","0.11%"
"2014년 12월 10일","1,101.62","1,104.93","1,109.40","1,100.00","-0.30%"
"2014년 12월 09일","1,104.93","1,112.06","1,115.70","1,102.15","-0.64%"
"2014년 12월 08일","1,112.06","1,122.15","1,122.50","1,110.82","-0.85%"
"2014년 12월 05일","1,121.60","1,112.11","1,122.11","1,110.52","0.83%"
"2014년 12월 04일","1,112.36","1,116.08","1,118.80","1,110.94","-0.34%"
"2014년 12월 03일","1,116.11","1,115.32","1,118.80","1,111.20","0.07%"
"2014년 12월 02일","1,115.32","1,109.90","1,116.48","1,104.50","0.47%"
"2014년 12월 01일","1,110.09","1,113.02","1,120.63","1,106.04","-0.28%"
"2014년 11월 28일","1,113.17","1,100.09","1,113.27","1,099.68","1.17%"
"2014년 11월 27일","1,100.32","1,103.77","1,104.60","1,096.96","-0.31%"
"2014년 11월 26일","1,103.74","1,110.16","1,110.60","1,103.59","-0.58%"
"2014년 11월 25일","1,110.22","1,113.97","1,117.10","1,109.00","-0.34%"
"2014년 11월 24일","1,114.02","1,111.19","1,118.15","1,109.40","0.25%"
"2014년 11월 21일","1,111.25","1,111.73","1,116.40","1,107.00","-0.06%"
"2014년 11월 20일","1,111.91","1,113.80","1,118.15","1,110.40","-0.17%"
"2014년 11월 19일","1,113.80","1,100.70","1,114.25","1,099.62","1.18%"
"2014년 11월 18일","1,100.85","1,101.08","1,102.50","1,095.85","-0.01%"
"2014년 11월 17일","1,100.93","1,100.17","1,104.87","1,092.67","0.01%"
"2014년 11월 14일","1,100.84","1,096.32","1,105.71","1,095.93","0.38%"
"2014년 11월 13일","1,096.68","1,095.55","1,100.30","1,092.26","0.09%"
"2014년 11월 12일","1,095.66","1,094.78","1,103.50","1,091.92","0.09%"
"2014년 11월 11일","1,094.72","1,090.07","1,099.37","1,087.42","0.41%"
"2014년 11월 10일","1,090.29","1,090.08","1,090.58","1,083.83","0.32%"
"2014년 11월 07일","1,086.84","1,090.52","1,095.52","1,085.52","-0.38%"
"2014년 11월 06일","1,091.00","1,089.02","1,091.94","1,084.02","0.04%"
"2014년 11월 05일","1,090.54","1,079.20","1,093.68","1,078.90","1.15%"
"2014년 11월 04일","1,078.09","1,083.18","1,083.84","1,076.41","-0.47%"
"2014년 11월 03일","1,083.15","1,082.79","1,083.81","1,072.15","0.89%"
